index	filename	evidence_id	likelihood	squared_norm	mode	domain	dimensions	device	status	error	sha256	file_size	path
1	n01632777_9516.JPEG	31230d4338ea4a5aa7c6ad0c324cdc36	-1539.730834960938	2344.310779882653	local	general	400	cuda	ok		daba9ce84e42ac60b2c3c7e1c9c56d88ea43977f773d364b9c6c5756fc7ea5ab	33212	/home/bfl-pcf/VA Suite/uploads-dev/31230d43-38ea-4a5a-a7c6-ad0c324cdc36.JPEG
2	n01632777_9251.JPEG	15e645eddade4b338eee3b21696a1db9	-1679.183349609375	2623.215769375733	local	general	400	cuda	ok		3df39142db39bbeaa2bb23966d3639ee520019345d3b06683b53194d5c0f9da2	23825	/home/bfl-pcf/VA Suite/uploads-dev/15e645ed-dade-4b33-8eee-3b21696a1db9.JPEG
3	n01632777_9314.JPEG	238ece8a16074da1a8760ae9870c4710	-1539.038085937500	2342.925362755792	local	general	400	cuda	ok		40439a9f435477b81c03ed8efa17e4d4b9672fd1dd1de5e98abfa675bdc5b781	58582	/home/bfl-pcf/VA Suite/uploads-dev/238ece8a-1607-4da1-a876-0ae9870c4710.JPEG
4	n01632777_9195.JPEG	95354d28b5774411ada887c089addd06	-1366.069091796875	1996.987316635335	local	general	400	cuda	ok		7109f8033a262a3c2fbf6d7ecda7d68b81802e448a18baff138763a7274ce5e4	29149	/home/bfl-pcf/VA Suite/uploads-dev/95354d28-b577-4411-ada8-87c089addd06.JPEG
5	n01632777_9296.JPEG	744ffbc12464466296b22f79d1931230	-1431.474365234375	2127.797862829699	local	general	400	cuda	ok		903a0021847726a31afab44505d3fb9127fc4a3cb5824f46b9ffee497e9062f6	10011	/home/bfl-pcf/VA Suite/uploads-dev/744ffbc1-2464-4662-96b2-2f79d1931230.JPEG
6	n01632777_9034.JPEG	4c750ec2fe2c4484b8713b8a1fca0f17	-1365.901367187500	1996.651845942848	local	general	400	cuda	ok		d4a2df203be85d047207a48bb0c87718f3949c1dac1db0cff8e34fbf98f6ac2c	92436	/home/bfl-pcf/VA Suite/uploads-dev/4c750ec2-fe2c-4484-b871-3b8a1fca0f17.JPEG
7	n01632777_8919.JPEG	c35454ec410b4618b0a4327ae2e4b756	-1372.380371093750	2009.610040966421	local	general	400	cuda	ok		a3bfc1dad390c7672cf7a6a7f2490b0b8a412d692d1f8528bba2400093a63ee4	63181	/home/bfl-pcf/VA Suite/uploads-dev/c35454ec-410b-4618-b0a4-327ae2e4b756.JPEG
8	n01632777_88.JPEG	1cb3417eb2194a588ac2c93812b62625	-1391.848144531250	2048.545488051153	local	general	400	cuda	ok		8ec2e040c957643eef15f6118d0553871352e40fc26d2a125dd113e9541ae0de	86246	/home/bfl-pcf/VA Suite/uploads-dev/1cb3417e-b219-4a58-8ac2-c93812b62625.JPEG
9	n01632777_8879.JPEG	5c269dd1f8844260ba92cff2db257bbd	-1350.961669921875	1966.772472419674	local	general	400	cuda	ok		3cd6238b45010024097e78b609146b3d0c3094fe076a5295eff4d476f4b0c9e0	41442	/home/bfl-pcf/VA Suite/uploads-dev/5c269dd1-f884-4260-ba92-cff2db257bbd.JPEG
10	n01632777_8692.JPEG	d4c863ed78a144b5a9ec0cd7c866705e	-1370.873535156250	2006.596303821556	local	general	400	cuda	ok		9953e75cfef11ceb7b59564277bd831e159aa235a1efa4e134f4e4f6ae9bade4	44423	/home/bfl-pcf/VA Suite/uploads-dev/d4c863ed-78a1-44b5-a9ec-0cd7c866705e.JPEG
